,course_title,course_organization,course_rating,course_difficulty,course_students_enrolled
310,Google Data Analytics,Google,4.8,Beginner,380K
311,Google Project Management:,Google,4.8,Beginner,260K
312,IBM Data Science,IBM,4.6,Beginner,900K
313,Google UX Design,Google,4.8,Beginner,220K
314,Google IT Support,Google,4.8,Beginner,1M
315,IBM Data Analyst,IBM,4.6,Beginner,580K
316,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
317,Introduction to Data Science,IBM,4.6,Beginner,590K
318,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
319,Machine Learning,Stanford University,4.9,Mixed,4.4M
320,Google Data Analytics,Google,4.8,Beginner,380K
321,Google Project Management:,Google,4.8,Beginner,260K
322,IBM Data Science,IBM,4.6,Beginner,900K
323,Google UX Design,Google,4.8,Beginner,220K
324,Google IT Support,Google,4.8,Beginner,1M
325,IBM Data Analyst,IBM,4.6,Beginner,580K
326,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
327,Introduction to Data Science,IBM,4.6,Beginner,590K
328,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
329,Machine Learning,Stanford University,4.9,Mixed,4.4M
330,Google Data Analytics,Google,4.8,Beginner,380K
331,Google Project Management:,Google,4.8,Beginner,260K
332,IBM Data Science,IBM,4.6,Beginner,900K
333,Google UX Design,Google,4.8,Beginner,220K
334,Google IT Support,Google,4.8,Beginner,1M
335,IBM Data Analyst,IBM,4.6,Beginner,580K
336,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
337,Introduction to Data Science,IBM,4.6,Beginner,590K
338,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
339,Machine Learning,Stanford University,4.9,Mixed,4.4M
340,Google Data Analytics,Google,4.8,Beginner,380K
341,Google Project Management:,Google,4.8,Beginner,260K
342,IBM Data Science,IBM,4.6,Beginner,900K
343,Google UX Design,Google,4.8,Beginner,220K
344,Google IT Support,Google,4.8,Beginner,1M
345,IBM Data Analyst,IBM,4.6,Beginner,580K
346,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
347,Introduction to Data Science,IBM,4.6,Beginner,590K
348,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
349,Machine Learning,Stanford University,4.9,Mixed,4.4M
350,Google Data Analytics,Google,4.8,Beginner,380K
351,Google Project Management:,Google,4.8,Beginner,260K
352,IBM Data Science,IBM,4.6,Beginner,900K
353,Google UX Design,Google,4.8,Beginner,220K
354,Google IT Support,Google,4.8,Beginner,1M
355,IBM Data Analyst,IBM,4.6,Beginner,580K
356,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
357,Introduction to Data Science,IBM,4.6,Beginner,590K
358,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
359,Machine Learning,Stanford University,4.9,Mixed,4.4M
360,Google Data Analytics,Google,4.8,Beginner,380K
361,Google Project Management:,Google,4.8,Beginner,260K
362,IBM Data Science,IBM,4.6,Beginner,900K
